,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Everyday Life,1,7H4NC6MYkcO91vrXwRQ4N1,Sunrise,spotify:track:7H4NC6MYkcO91vrXwRQ4N1,0.939,0.161,0.216,0.54,0.0773,-12.302,0.0389,83.857,0.034,26
1,Everyday Life,2,4nb8OcZG8lpnHi5DmkEnY2,Church,spotify:track:4nb8OcZG8lpnHi5DmkEnY2,0.00865,0.448,0.736,0.145,0.147,-6.98,0.0366,123.956,0.133,27
2,Everyday Life,3,49YD8pGETf5HUKxouVdq3W,Trouble In Town,spotify:track:49YD8pGETf5HUKxouVdq3W,0.426,0.374,0.316,0.651,0.111,-11.456,0.0318,95.104,0.326,25
3,Everyday Life,4,0puPjLkM0yGkHcgJ5Cx0Tu,BrokEn,spotify:track:0puPjLkM0yGkHcgJ5Cx0Tu,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.155,0.521,25
4,Everyday Life,5,6s2hGG9yeBypHY9Gf8poVv,Daddy,spotify:track:6s2hGG9yeBypHY9Gf8poVv,0.931,0.636,0.18,0.801,0.513,-19.54,0.0338,116.945,0.202,26
5,Everyday Life,6,4OcWgqzJPCxfxhUveVHHFj,WOTW / POTP,spotify:track:4OcWgqzJPCxfxhUveVHHFj,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,0.802,24
6,Everyday Life,7,3O9LthKRLBGvldECecoHYz,Arabesque,spotify:track:3O9LthKRLBGvldECecoHYz,0.000117,0.4,0.835,0.846,0.373,-7.728,0.0549,172.007,0.167,26
7,Everyday Life,8,1z5nCEeGw23FVORtbNYCHG,When I Need A Friend,spotify:track:1z5nCEeGw23FVORtbNYCHG,0.921,0.224,0.28,0.36,0.135,-18.225,0.049,87.871,0.447,24
8,Everyday Life,1,1N07LKSbSEsrECpw1SVkt8,Guns,spotify:track:1N07LKSbSEsrECpw1SVkt8,0.779,0.476,0.562,0.209,0.138,-8.333,0.0326,85.252,0.703,23
9,Everyday Life,2,4cUpJkAYVyJ6OR6f7dYTzb,Orphans,spotify:track:4cUpJkAYVyJ6OR6f7dYTzb,0.0254,0.503,0.808,0.00162,0.557,-5.051,0.045,107.975,0.283,34
10,Everyday Life,3,2xH25Fv8hXL9coCyCJEVX3,Èkó,spotify:track:2xH25Fv8hXL9coCyCJEVX3,0.725,0.341,0.365,0.00194,0.184,-13.871,0.0322,183.004,0.0486,24
11,Everyday Life,4,60cpogZMcBJo6gryiyIzB1,Cry Cry Cry,spotify:track:60cpogZMcBJo6gryiyIzB1,0.891,0.491,0.261,0.273,0.207,-10.464,0.0568,204.518,0.355,26
12,Everyday Life,5,0yLy5ps68NaqSu2gjQgBzf,Old Friends,spotify:track:0yLy5ps68NaqSu2gjQgBzf,0.943,0.477,0.18,0.242,0.138,-17.499,0.0346,134.05,0.236,24
13,Everyday Life,6,2mFIMXz2JCV1v7we5Qbve7,بنی آدم,spotify:track:2mFIMXz2JCV1v7we5Qbve7,0.757,0.393,0.301,0.764,0.161,-20.429,0.0497,140.438,0.0384,24
14,Everyday Life,7,2GXbkOYI1HuSqk95wIcnm8,Champion Of The World,spotify:track:2GXbkOYI1HuSqk95wIcnm8,0.0028,0.503,0.596,0.0112,0.109,-7.094,0.0263,108.897,0.167,17
15,Everyday Life,8,3pSR6gudZ1UTltAeeZ7UDq,Everyday Life,spotify:track:3pSR6gudZ1UTltAeeZ7UDq,0.771,0.512,0.453,0.0914,0.065,-8.991,0.0291,124.05,0.236,28
16,Everyday Life,9,4S2lJPZBoyl28MilRBgxgb,Flags,spotify:track:4S2lJPZBoyl28MilRBgxgb,0.00107,0.549,0.796,1.18e-05,0.123,-7.262,0.0376,89.926,0.511,15
17,Everyday Life,1,6Tb7Zfo4PcSiS4TqQ4NnTh,Sunrise,spotify:track:6Tb7Zfo4PcSiS4TqQ4NnTh,0.939,0.161,0.216,0.54,0.0773,-12.302,0.0389,83.857,0.034,63
18,Everyday Life,2,1e8D1BCD2afT56Km7UahpB,Church,spotify:track:1e8D1BCD2afT56Km7UahpB,0.00865,0.448,0.736,0.145,0.147,-6.98,0.0366,123.956,0.133,64
19,Everyday Life,3,45PqOIkZ9PdCjsCJQYzx9G,Trouble In Town,spotify:track:45PqOIkZ9PdCjsCJQYzx9G,0.426,0.374,0.316,0.651,0.111,-11.456,0.0318,95.104,0.326,62
20,Everyday Life,4,1cXXhzPnbrXjNQYbLdUJdy,BrokEn,spotify:track:1cXXhzPnbrXjNQYbLdUJdy,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.155,0.521,61
21,Everyday Life,5,3pcPPhPAiurm2Ior11SHrz,Daddy,spotify:track:3pcPPhPAiurm2Ior11SHrz,0.931,0.636,0.18,0.801,0.513,-19.54,0.0338,116.945,0.202,63
22,Everyday Life,6,7jib2tJjQ82kTIZZATMvAK,WOTW / POTP,spotify:track:7jib2tJjQ82kTIZZATMvAK,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,0.802,59
23,Everyday Life,7,0ZlVUhjO8c0bOx1D2Btznf,Arabesque,spotify:track:0ZlVUhjO8c0bOx1D2Btznf,0.000117,0.4,0.835,0.846,0.373,-7.728,0.0549,172.007,0.167,63
24,Everyday Life,8,0UvUivL70eDwhTWBd8S38I,When I Need A Friend,spotify:track:0UvUivL70eDwhTWBd8S38I,0.921,0.224,0.28,0.36,0.135,-18.225,0.049,87.871,0.447,60
25,Everyday Life,1,6VzRvCbolqcUswaSPm48rI,Guns,spotify:track:6VzRvCbolqcUswaSPm48rI,0.779,0.476,0.562,0.209,0.138,-8.333,0.0326,85.252,0.703,59
26,Everyday Life,2,03T4ttRCiLXST6MZjeMwmR,Orphans,spotify:track:03T4ttRCiLXST6MZjeMwmR,0.0254,0.503,0.808,0.00162,0.557,-5.051,0.045,107.975,0.283,69
27,Everyday Life,3,2HUtNS9qtfgWbnaagK6AAe,Èkó,spotify:track:2HUtNS9qtfgWbnaagK6AAe,0.725,0.341,0.365,0.00194,0.184,-13.871,0.0322,183.004,0.0486,60
28,Everyday Life,4,4Kwhm5VU4huxmQtBqd1AXo,Cry Cry Cry,spotify:track:4Kwhm5VU4huxmQtBqd1AXo,0.891,0.491,0.261,0.273,0.207,-10.464,0.0568,204.518,0.355,63
29,Everyday Life,5,3E3zYgQul8EaJioNvD2tv9,Old Friends,spotify:track:3E3zYgQul8EaJioNvD2tv9,0.943,0.477,0.18,0.242,0.138,-17.499,0.0346,134.05,0.236,60
30,Everyday Life,6,6DGzLNiawTtntC9NHzeMeY,بنی آدم,spotify:track:6DGzLNiawTtntC9NHzeMeY,0.757,0.393,0.301,0.764,0.161,-20.429,0.0497,140.438,0.0384,59
31,Everyday Life,7,6mf7BNgXs8JipPr2QILnyN,Champion Of The World,spotify:track:6mf7BNgXs8JipPr2QILnyN,0.0028,0.503,0.596,0.0112,0.109,-7.094,0.0263,108.897,0.167,66
32,Everyday Life,8,0h9fnCSnbUgOEgibnQByFv,Everyday Life,spotify:track:0h9fnCSnbUgOEgibnQByFv,0.771,0.512,0.453,0.0914,0.065,-8.991,0.0291,124.05,0.236,67
33,Everyday Life,1,7IPLwgQEPGCv7fqrjQgPH0,Sunrise,spotify:track:7IPLwgQEPGCv7fqrjQgPH0,0.939,0.161,0.216,0.54,0.0773,-12.302,0.0389,83.857,0.034,2
34,Everyday Life,2,3PuUxuYfvHRlLFWgmkgpt2,Church,spotify:track:3PuUxuYfvHRlLFWgmkgpt2,0.00865,0.448,0.736,0.145,0.147,-6.98,0.0366,123.956,0.133,3
35,Everyday Life,3,5kqQ9HZ38KtKQcM73sWtCb,Trouble in Town,spotify:track:5kqQ9HZ38KtKQcM73sWtCb,0.431,0.374,0.309,0.734,0.111,-11.442,0.0312,94.509,0.338,2
36,Everyday Life,4,4RxJd62u52ithoDKnHRTt7,BrokEn,spotify:track:4RxJd62u52ithoDKnHRTt7,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.155,0.521,2
37,Everyday Life,5,2tAkHBYe5zKzROZQtXqTBk,Daddy,spotify:track:2tAkHBYe5zKzROZQtXqTBk,0.931,0.636,0.18,0.801,0.513,-19.54,0.0338,116.945,0.202,3
38,Everyday Life,6,6c1YV0MLqhEB4luL5hePjd,WOTW / POTP,spotify:track:6c1YV0MLqhEB4luL5hePjd,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,0.802,2
39,Everyday Life,7,0kIB7BlbS5qhCxqGtSFzqL,Arabesque,spotify:track:0kIB7BlbS5qhCxqGtSFzqL,0.000117,0.402,0.837,0.851,0.373,-7.734,0.055,172.023,0.165,2
40,Everyday Life,8,1Au0AfjHschxgbrrE7RiXp,When I Need A Friend,spotify:track:1Au0AfjHschxgbrrE7RiXp,0.921,0.224,0.28,0.36,0.135,-18.225,0.049,87.871,0.447,2
41,Everyday Life,1,6M9qQHqsnVAEm2vmrG0yJE,Guns,spotify:track:6M9qQHqsnVAEm2vmrG0yJE,0.777,0.458,0.561,0.268,0.138,-8.443,0.0327,131.384,0.704,2
42,Everyday Life,2,7k4Kcq9xg95ycO1xBaDnG5,Orphans,spotify:track:7k4Kcq9xg95ycO1xBaDnG5,0.0254,0.503,0.808,0.00162,0.557,-5.051,0.045,107.975,0.283,3
43,Everyday Life,3,3arRw9BEDY6iPXMgDa5rJd,Èkó,spotify:track:3arRw9BEDY6iPXMgDa5rJd,0.725,0.341,0.365,0.00194,0.184,-13.871,0.0322,183.004,0.0486,2
44,Everyday Life,4,64SVLlAArJdyPs9HNnogBq,Cry Cry Cry,spotify:track:64SVLlAArJdyPs9HNnogBq,0.891,0.491,0.261,0.273,0.207,-10.464,0.0568,204.518,0.355,3
45,Everyday Life,5,3iYewuUoFdgvpybxGEttuO,Old Friends,spotify:track:3iYewuUoFdgvpybxGEttuO,0.943,0.477,0.18,0.242,0.138,-17.499,0.0346,134.05,0.236,2
46,Everyday Life,6,6tAo3PZfnVYQXTHhi892oT,بنی آدم,spotify:track:6tAo3PZfnVYQXTHhi892oT,0.757,0.393,0.301,0.764,0.161,-20.429,0.0497,140.438,0.0384,1
47,Everyday Life,7,1eaKTfqVPBhTdYYZQ248K1,Champion Of The World,spotify:track:1eaKTfqVPBhTdYYZQ248K1,0.0028,0.503,0.596,0.0112,0.109,-7.094,0.0263,108.897,0.167,26
48,Everyday Life,8,3noPoL4ljzpWy0S0yTivTW,Everyday Life,spotify:track:3noPoL4ljzpWy0S0yTivTW,0.771,0.512,0.453,0.0914,0.065,-8.991,0.0291,124.05,0.236,3
49,Everyday Life,9,4cj1MthCURAIJjTiXWGhCD,Flags,spotify:track:4cj1MthCURAIJjTiXWGhCD,0.00107,0.549,0.796,1.18e-05,0.123,-7.262,0.0376,89.926,0.511,3
50,Everyday Life,1,2HQAeoYBn8H72Jo6UyKt6G,Sunrise,spotify:track:2HQAeoYBn8H72Jo6UyKt6G,0.939,0.161,0.216,0.54,0.0773,-12.302,0.0389,83.857,0.034,25
51,Everyday Life,2,3eJUFA6IF9YqXstE1hd3GQ,Church,spotify:track:3eJUFA6IF9YqXstE1hd3GQ,0.00865,0.448,0.736,0.145,0.147,-6.98,0.0366,123.956,0.133,27
52,Everyday Life,3,54XS0PDjYnK85mMByQ03we,Trouble in Town,spotify:track:54XS0PDjYnK85mMByQ03we,0.431,0.374,0.309,0.734,0.111,-11.442,0.0312,94.509,0.338,30
53,Everyday Life,4,7tB5i1UdZnzMMIJhdeXlNq,BrokEn,spotify:track:7tB5i1UdZnzMMIJhdeXlNq,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.155,0.521,24
54,Everyday Life,5,7kWsEOUrlBnR2ITKnqNYuo,Daddy,spotify:track:7kWsEOUrlBnR2ITKnqNYuo,0.931,0.636,0.18,0.801,0.513,-19.54,0.0338,116.945,0.202,28
55,Everyday Life,6,0s4HHbfHJuvC25U5BQoY28,WOTW / POTP,spotify:track:0s4HHbfHJuvC25U5BQoY28,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,0.802,21
56,Everyday Life,7,1yQhKMf4RKZYv9xDtY2HYT,Arabesque,spotify:track:1yQhKMf4RKZYv9xDtY2HYT,0.000117,0.402,0.837,0.851,0.373,-7.734,0.055,172.023,0.165,30
57,Everyday Life,8,34zYBKIXJD7AO3XoygjdOm,When I Need A Friend,spotify:track:34zYBKIXJD7AO3XoygjdOm,0.921,0.224,0.28,0.36,0.135,-18.225,0.049,87.871,0.447,23
58,Everyday Life,1,7c3iZEcAtEnz3Ew7qQhghi,Guns,spotify:track:7c3iZEcAtEnz3Ew7qQhghi,0.777,0.458,0.561,0.268,0.138,-8.443,0.0327,131.384,0.704,26
59,Everyday Life,2,6qQErqahQ4YWT841F7dV56,Orphans,spotify:track:6qQErqahQ4YWT841F7dV56,0.0254,0.503,0.808,0.00162,0.557,-5.051,0.045,107.975,0.283,26
60,Everyday Life,3,41I6D0eHongsAtJrJRaTiU,Èkó,spotify:track:41I6D0eHongsAtJrJRaTiU,0.725,0.341,0.365,0.00194,0.184,-13.871,0.0322,183.004,0.0486,22
61,Everyday Life,4,4a01t5uGbImj3tqdpsXZBF,Cry Cry Cry,spotify:track:4a01t5uGbImj3tqdpsXZBF,0.891,0.491,0.261,0.273,0.207,-10.464,0.0568,204.518,0.355,29
62,Everyday Life,5,71fbBfMQgUovPGfOBRK2HT,Old Friends,spotify:track:71fbBfMQgUovPGfOBRK2HT,0.943,0.477,0.18,0.242,0.138,-17.499,0.0346,134.05,0.236,22
63,Everyday Life,6,7EfEimN9OWxbCKvv2jDEXa,بنی آدم,spotify:track:7EfEimN9OWxbCKvv2jDEXa,0.757,0.393,0.301,0.764,0.161,-20.429,0.0497,140.438,0.0384,22
64,Everyday Life,7,2Ne9aiyDTwyPyONOdUZ3C8,Champion Of The World,spotify:track:2Ne9aiyDTwyPyONOdUZ3C8,0.0028,0.503,0.596,0.0112,0.109,-7.094,0.0263,108.897,0.167,34
65,Everyday Life,8,3l80ChsWwZKAog5KSmcdIG,Everyday Life,spotify:track:3l80ChsWwZKAog5KSmcdIG,0.771,0.512,0.453,0.0914,0.065,-8.991,0.0291,124.05,0.236,27
66,Live in Buenos Aires,1,5H8lr4az4Vo3LloH67yVRt,A Head Full of Dreams - Live in Buenos Aires,spotify:track:5H8lr4az4Vo3LloH67yVRt,0.0132,0.32,0.923,0.00654,0.705,-6.33,0.136,122.756,0.255,51
67,Live in Buenos Aires,2,2s2Ld1Xm7t88gSVvohNbPL,Yellow - Live in Buenos Aires,spotify:track:2s2Ld1Xm7t88gSVvohNbPL,0.000343,0.322,0.873,0.000698,0.362,-5.818,0.0639,91.033,0.144,53
68,Live in Buenos Aires,3,4Q0yfgpERfkp59Pf2tdI4q,Every Teardrop Is a Waterfall - Live in Buenos Aires,spotify:track:4Q0yfgpERfkp59Pf2tdI4q,0.00406,0.397,0.943,0.0,0.981,-5.619,0.0663,118.005,0.325,51
69,Live in Buenos Aires,4,1aZhbOdRqshLS6uPjiO8Y4,The Scientist - Live in Buenos Aires,spotify:track:1aZhbOdRqshLS6uPjiO8Y4,0.105,0.294,0.652,0.00196,0.378,-7.314,0.0336,75.335,0.167,54
70,Live in Buenos Aires,5,2q8WO601qIwLwV4DgXDCiO,God Put a Smile upon Your Face - Live in Buenos Aires,spotify:track:2q8WO601qIwLwV4DgXDCiO,0.000615,0.345,0.967,0.000117,0.89,-4.687,0.0837,137.917,0.366,49
71,Live in Buenos Aires,6,314gi4w3RdZxlocdWw0Khr,Paradise - Live in Buenos Aires,spotify:track:314gi4w3RdZxlocdWw0Khr,0.00193,0.189,0.872,0.0187,0.898,-6.616,0.051,138.661,0.19,52
72,Live in Buenos Aires,7,0oAchaVoTWj6lXTR6f2dSU,Always in My Head - Live in Buenos Aires,spotify:track:0oAchaVoTWj6lXTR6f2dSU,0.00157,0.46,0.771,0.827,0.975,-7.872,0.0314,97.555,0.147,48
73,Live in Buenos Aires,8,6EqxH0njjZuuI3gFZN3Z1o,Magic - Live in Buenos Aires,spotify:track:6EqxH0njjZuuI3gFZN3Z1o,0.0162,0.474,0.836,0.381,0.748,-6.547,0.0618,95.544,0.479,49
74,Live in Buenos Aires,9,4U5Cr41d1K6s48GAndvCdM,Everglow - Live in Buenos Aires,spotify:track:4U5Cr41d1K6s48GAndvCdM,0.711,0.292,0.434,0.000205,0.383,-8.881,0.033,154.04,0.234,50
75,Live in Buenos Aires,10,4cHZ7W5R81upaIGZfqWxbB,Clocks - Live in Buenos Aires,spotify:track:4cHZ7W5R81upaIGZfqWxbB,0.065,0.448,0.907,0.0125,0.391,-5.253,0.0531,130.898,0.23,50
76,Live in Buenos Aires,11,62OqszvOYSuonp6Buj4P74,Midnight - Live in Buenos Aires,spotify:track:62OqszvOYSuonp6Buj4P74,0.0428,0.359,0.768,0.46,0.319,-9.32,0.0431,126.99,0.119,47
77,Live in Buenos Aires,12,3ksF058sVZ21EgQdRLbUyI,Charlie Brown - Live in Buenos Aires,spotify:track:3ksF058sVZ21EgQdRLbUyI,0.00181,0.312,0.87,0.00132,0.345,-6.634,0.0503,138.03,0.28,49
78,Live in Buenos Aires,13,0w6X9iRKrMyDpRRtbu4tE0,Hymn for the Weekend - Live in Buenos Aires,spotify:track:0w6X9iRKrMyDpRRtbu4tE0,0.0399,0.17,0.708,0.00945,0.354,-6.997,0.0417,89.641,0.251,50
79,Live in Buenos Aires,14,7mGJlNOAOmJ5ptkmujg1Gv,Fix You - Live in Buenos Aires,spotify:track:7mGJlNOAOmJ5ptkmujg1Gv,0.00534,0.256,0.625,0.00386,0.179,-7.53,0.0348,140.351,0.201,60
80,Live in Buenos Aires,15,4Y9lVjRD82aJOQ2v13UIoF,Viva La Vida - Live in Buenos Aires,spotify:track:4Y9lVjRD82aJOQ2v13UIoF,0.00537,0.428,0.948,1.29e-06,0.371,-4.655,0.0934,138.015,0.219,61
81,Live in Buenos Aires,16,3ERJLifTcWBFNZRl6QAqEC,Adventure of a Lifetime - Live in Buenos Aires,spotify:track:3ERJLifTcWBFNZRl6QAqEC,0.00297,0.476,0.952,0.013,0.777,-5.472,0.0884,111.98,0.275,50
82,Live in Buenos Aires,17,1aQKPnGNa5vK7aA6lTm4JS,De Música Ligera - Live in Buenos Aires,spotify:track:1aQKPnGNa5vK7aA6lTm4JS,0.00262,0.196,0.937,1.75e-06,0.397,-5.813,0.138,124.401,0.0819,49
83,Live in Buenos Aires,18,5MVyXzR1HARqSkQjhPrNBO,Colour Spectrum - Live in Buenos Aires,spotify:track:5MVyXzR1HARqSkQjhPrNBO,0.763,0.253,0.454,0.892,0.378,-11.742,0.0362,85.508,0.133,44
84,Live in Buenos Aires,19,0o7htzPrB8bP0jnyjiqUdj,In My Place - Live in Buenos Aires,spotify:track:0o7htzPrB8bP0jnyjiqUdj,0.171,0.121,0.699,0.00104,0.965,-6.956,0.043,78.393,0.326,47
85,Live in Buenos Aires,20,1rAZrYT0Ad4F1RiDaxYknE,Amor Argentina - Live in Buenos Aires,spotify:track:1rAZrYT0Ad4F1RiDaxYknE,0.252,0.233,0.675,0.0181,0.854,-8.374,0.0501,134.173,0.317,44
86,Live in Buenos Aires,21,0hreO9tj5yiYftUuVThaea,Something Just like This - Live in Buenos Aires,spotify:track:0hreO9tj5yiYftUuVThaea,0.00072,0.426,0.859,0.000775,0.456,-5.866,0.0448,102.913,0.17,49
87,Live in Buenos Aires,22,1EMFnyhETKfI52uhI4baGY,A Sky Full of Stars - Live in Buenos Aires,spotify:track:1EMFnyhETKfI52uhI4baGY,0.00255,0.415,0.808,0.000606,0.982,-6.596,0.0367,124.893,0.2,49
88,Live in Buenos Aires,23,3glegOEXSkk8HanJe7ZB08,Up&Up - Live in Buenos Aires,spotify:track:3glegOEXSkk8HanJe7ZB08,0.0115,0.108,0.82,2.41e-05,0.659,-5.61,0.075,67.092,0.15,47
89,Live in Buenos Aires,24,6c64ANGY0NfO2YMpbcJUOR,End Credits - Live in Buenos Aires,spotify:track:6c64ANGY0NfO2YMpbcJUOR,0.000119,0.156,0.217,0.929,0.102,-18.429,0.0451,74.901,0.0936,42
90,Love in Tokyo,1,5ASbJVESIKfC2nxNA0UR46,A Head Full of Dreams,spotify:track:5ASbJVESIKfC2nxNA0UR46,0.0948,0.307,0.92,0.00308,0.4,-6.967,0.166,122.836,0.152,11
91,Love in Tokyo,2,1HpGWJKP77s23Xc7zVdjTj,Yellow - Live,spotify:track:1HpGWJKP77s23Xc7zVdjTj,8.92e-05,0.299,0.828,0.00295,0.931,-5.659,0.0461,90.993,0.23,13
92,Love in Tokyo,3,5yH2h98cFLM1B1DJp7uiyv,The Scientist - Live,spotify:track:5yH2h98cFLM1B1DJp7uiyv,0.0479,0.389,0.634,0.0116,0.734,-8.391,0.0339,75.219,0.23,12
93,Love in Tokyo,4,0NoOsbBzgnh9q9lc58dJ4X,Paradise - Live,spotify:track:0NoOsbBzgnh9q9lc58dJ4X,0.00537,0.183,0.883,0.000957,0.756,-6.382,0.0497,138.909,0.107,11
94,Love in Tokyo,5,7LUeeObmtmXOMiAHBN5Qgy,Everglow - Live,spotify:track:7LUeeObmtmXOMiAHBN5Qgy,0.738,0.409,0.376,4.88e-06,0.84,-10.806,0.0325,78.552,0.287,11
95,Love in Tokyo,6,40oSHFkxutC7q6B1VkDeHs,Midnight / Charlie Brown - Live,spotify:track:40oSHFkxutC7q6B1VkDeHs,0.0136,0.181,0.75,0.0268,0.173,-9.07,0.054,134.272,0.0709,10
96,Love in Tokyo,7,68VpbeVBKffSR7LK7zL1Nb,Hymn for the Weekend - Live,spotify:track:68VpbeVBKffSR7LK7zL1Nb,0.00451,0.416,0.769,0.0192,0.91,-6.703,0.0409,90.034,0.413,11
97,Love in Tokyo,8,5US1KwaMM5EkH9RThcX25u,Fix You - Live,spotify:track:5US1KwaMM5EkH9RThcX25u,0.0133,0.261,0.54,0.392,0.461,-9.173,0.0344,140.11,0.0817,12
98,Love in Tokyo,9,3fFH0oyosweyLnFLfUAV5h,Viva La Vida - Live,spotify:track:3fFH0oyosweyLnFLfUAV5h,0.00199,0.451,0.905,0.0411,0.196,-7.154,0.0664,137.953,0.14,15
99,Love in Tokyo,10,21rlsFc8Dv1Vo5EYGkgzT2,Adventure of a Lifetime - Live,spotify:track:21rlsFc8Dv1Vo5EYGkgzT2,0.000602,0.506,0.935,0.000173,0.938,-6.455,0.0627,112.031,0.341,11
100,Love in Tokyo,11,5uGINDoIem5LRsV182tl06,Us Against the World - Live,spotify:track:5uGINDoIem5LRsV182tl06,0.4,0.233,0.52,0.0116,0.955,-9.919,0.0324,111.451,0.0866,9
101,Love in Tokyo,12,3ljoRKFqQM2S2DMebq7ktf,Something Just like That - Live,spotify:track:3ljoRKFqQM2S2DMebq7ktf,0.000804,0.427,0.797,0.00594,0.424,-7.685,0.0442,102.943,0.161,13
102,Love in Tokyo,13,71P3wgiqJ2ZyaohY7UlDUk,A Sky Full of Stars - Live,spotify:track:71P3wgiqJ2ZyaohY7UlDUk,0.0102,0.375,0.747,1.39e-05,0.757,-6.261,0.0378,125.009,0.241,13
103,Love in Tokyo,14,3ilTIS9N6zPF5AykezFX2C,Up&Up - Live,spotify:track:3ilTIS9N6zPF5AykezFX2C,0.00482,0.0973,0.779,0.0115,0.195,-6.74,0.0757,72.528,0.117,11
104,A Head Full of Dreams,1,6f49kbOuQSOsStBpyGvQfA,A Head Full of Dreams,spotify:track:6f49kbOuQSOsStBpyGvQfA,0.002,0.45,0.92,0.0201,0.334,-4.982,0.0733,122.979,0.0773,66
105,A Head Full of Dreams,2,3HWDWyIqWuLsTHECx9DvXF,Birds,spotify:track:3HWDWyIqWuLsTHECx9DvXF,0.000315,0.559,0.841,0.45,0.0816,-5.584,0.0334,105.009,0.15,62
106,A Head Full of Dreams,3,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.255,0.49,0.743,7.21e-06,0.3,-5.155,0.0409,89.974,0.363,77
107,A Head Full of Dreams,4,5qfZRNjt2TkHEL12r3sDEU,Everglow,spotify:track:5qfZRNjt2TkHEL12r3sDEU,0.456,0.535,0.445,0.0677,0.112,-9.155,0.0292,146.099,0.136,68
108,A Head Full of Dreams,5,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,spotify:track:69uxyAqqPIsUyTO8txoP2M,0.00205,0.638,0.924,0.000173,0.149,-3.887,0.0359,111.995,0.529,74
